date,open,high,low,close,volume,amount
2024-03-26 15:00:00,516.26,516.32,515.94,516.18,280,34095
2024-03-26 22:00:00,518.80,521.10,517.80,518.62,4629,34358
2024-03-26 23:00:00,518.62,519.38,518.34,518.34,1175,34394
2024-03-27 00:00:00,518.26,518.62,516.96,517.20,1342,34430
2024-03-27 01:00:00,517.20,518.14,517.20,517.80,225,34432
2024-03-27 02:00:00,517.80,518.18,516.98,517.02,106,34431
2024-03-27 09:30:00,517.02,517.82,516.32,517.68,1944,34249
2024-03-27 10:45:00,517.68,517.92,516.92,517.68,8566,33233
2024-03-27 13:45:00,517.68,518.66,517.54,518.16,5752,34037
2024-03-27 14:45:00,518.16,518.50,518.06,518.46,1064,34033
2024-03-27 15:00:00,518.46,518.96,518.10,518.32,377,33988
2024-03-27 22:00:00,519.78,520.56,518.86,520.16,4058,34284
2024-03-27 23:00:00,520.22,520.40,519.06,519.22,1585,34250
2024-03-28 00:00:00,519.22,519.40,518.42,519.08,801,34200
2024-03-28 01:00:00,519.08,519.34,518.80,519.00,4082,33816
2024-03-28 02:00:00,519.00,519.36,518.50,518.76,2665,33882
2024-03-28 09:30:00,518.76,519.40,518.50,519.36,1378,33824
2024-03-28 10:45:00,519.36,520.10,519.04,519.82,1582,33858
2024-03-28 13:45:00,519.82,520.74,519.68,520.68,1495,33839
2024-03-28 14:45:00,520.68,521.62,520.52,521.34,2563,33862
2024-03-28 15:00:00,521.34,521.64,521.32,521.64,545,33793
2024-03-28 22:00:00,524.66,524.84,521.38,522.08,3793,33973
2024-03-28 23:00:00,522.12,523.96,521.38,523.80,2704,34280
2024-03-29 00:00:00,523.80,524.32,523.50,524.00,945,34350
2024-03-29 01:00:00,524.00,525.98,523.70,525.10,1854,34632
2024-03-29 02:00:00,525.10,525.80,524.76,525.66,548,34645
2024-03-29 09:30:00,525.66,528.62,525.54,528.16,7297,33699
2024-03-29 10:45:00,528.16,530.92,528.12,530.26,3072,33844
2024-03-29 13:45:00,530.26,531.90,530.18,531.70,2284,33624
2024-03-29 14:45:00,531.68,533.24,531.08,532.72,2365,33685
2024-03-29 15:00:00,532.76,533.96,532.28,532.98,1334,34127
2024-03-29 22:00:00,532.08,533.18,530.04,532.22,4207,34376
2024-03-29 23:00:00,532.22,533.86,531.32,533.66,1716,34447
2024-03-30 01:00:00,532.96,533.38,532.90,533.00,209,34404
2024-03-30 02:00:00,533.00,533.18,532.84,533.16,157,34380
2024-03-30 09:30:00,533.16,533.28,531.98,532.32,395,34406
2024-04-01 00:00:00,533.66,533.66,532.52,532.96,859,34413
2024-04-01 09:30:00,533.44,536.22,533.44,535.78,4117,34596
2024-04-01 10:45:00,535.78,536.84,534.54,535.00,3214,34735
2024-04-01 13:45:00,535.00,536.16,534.70,536.00,1854,34814
2024-04-01 14:45:00,536.00,536.52,535.36,535.98,2706,35066
2024-04-01 15:00:00,536.00,536.00,535.28,535.72,450,35152
2024-04-01 22:00:00,534.82,535.94,532.04,533.60,7132,35525
2024-04-01 23:00:00,533.20,533.28,530.00,531.56,5545,35611
2024-04-02 00:00:00,531.56,532.68,531.30,532.64,1027,35621
2024-04-02 01:00:00,532.64,533.38,532.08,532.16,681,35573
2024-04-02 02:00:00,532.16,532.52,531.56,532.42,441,35595
2024-04-02 09:30:00,532.42,534.78,532.38,533.80,1189,35497
2024-04-02 10:45:00,533.80,535.22,533.70,535.00,1708,35792
2024-04-02 13:45:00,534.92,536.66,534.76,536.42,2719,36188
2024-04-02 14:45:00,536.38,536.44,535.92,536.16,1213,36447
2024-04-02 15:00:00,536.16,536.76,536.10,536.66,398,36473
2024-04-02 22:00:00,536.82,538.54,536.02,538.22,6330,37331
2024-04-02 23:00:00,538.22,540.54,536.38,536.98,7895,37483
2024-04-03 00:00:00,537.02,537.44,535.58,537.06,2567,37472
2024-04-03 01:00:00,537.06,538.02,536.50,537.68,726,37493
2024-04-03 02:00:00,537.68,539.44,537.64,539.30,379,37498
2024-04-03 09:30:00,539.30,542.50,539.26,541.74,2874,37481
2024-04-03 10:45:00,541.74,542.56,541.30,542.08,2447,37754
2024-04-03 13:45:00,542.08,543.26,542.08,542.78,2534,38152
2024-04-03 14:45:00,542.78,543.60,542.20,543.06,2630,38410
2024-04-03 15:00:00,543.00,543.44,543.00,543.38,573,38416
2024-04-08 09:30:00,547.92,550.26,545.08,550.10,6038,38691
2024-04-08 10:45:00,550.10,562.38,550.06,559.64,10298,39064
2024-04-08 13:45:00,559.64,560.92,554.84,556.32,6911,39246
2024-04-08 14:45:00,556.32,558.04,555.52,556.72,3980,39534
2024-04-08 15:00:00,556.72,557.74,556.50,556.50,1042,39461
2024-04-08 22:00:00,555.96,557.22,554.08,555.00,6930,39881
2024-04-08 23:00:00,555.06,556.30,552.88,556.06,4231,40068
2024-04-09 00:00:00,556.06,557.04,555.64,556.26,1400,40146
2024-04-09 01:00:00,556.26,556.82,556.12,556.42,789,40074
2024-04-09 02:00:00,556.46,560.00,556.30,559.58,1577,40131
2024-04-09 09:30:00,559.58,560.42,557.78,559.98,3218,40378
2024-04-09 10:45:00,559.90,561.04,558.20,559.38,3680,40579
2024-04-09 13:45:00,559.38,560.36,559.22,560.08,2060,41031
2024-04-09 14:45:00,560.08,560.34,558.80,559.32,1477,41155
2024-04-09 15:00:00,559.32,559.46,558.64,558.82,317,41153
2024-04-09 22:00:00,560.00,562.82,559.56,561.30,9298,41668
2024-04-09 23:00:00,561.30,563.00,558.70,560.30,7058,42047
2024-04-10 00:00:00,560.30,560.60,557.18,557.84,4754,42176
2024-04-10 01:00:00,557.84,559.70,557.84,559.34,1174,42204
2024-04-10 02:00:00,559.34,560.32,558.48,559.84,545,42190
2024-04-10 09:30:00,559.84,560.54,558.92,560.14,2074,42233
2024-04-10 10:45:00,560.14,561.10,559.64,560.70,2139,42315
2024-04-10 13:45:00,560.70,562.60,560.32,562.34,3111,42965
2024-04-10 14:45:00,562.34,562.34,560.80,561.16,2802,43128
2024-04-10 15:00:00,561.12,561.24,560.50,560.78,801,42996
2024-04-10 22:00:00,558.40,558.40,554.16,556.92,12986,42867
2024-04-10 23:00:00,556.96,560.66,556.64,559.36,6042,43235
2024-04-11 00:00:00,559.40,559.80,556.32,557.98,3767,43249
2024-04-11 01:00:00,557.92,558.84,557.74,558.28,576,43270
2024-04-11 02:00:00,558.28,558.96,556.18,558.10,2065,43236
2024-04-11 09:30:00,558.10,558.60,557.00,558.42,1641,43240
2024-04-11 10:45:00,558.42,559.48,557.88,559.42,1525,43120
2024-04-11 13:45:00,559.36,559.74,558.60,558.74,1724,43270
2024-04-11 14:45:00,558.74,558.88,556.42,557.78,3715,43232
2024-04-11 15:00:00,557.78,557.78,557.14,557.14,468,43133
2024-04-11 22:00:00,558.36,559.26,557.30,559.02,4789,43122
2024-04-11 23:00:00,559.02,559.62,557.26,558.48,4125,43154
2024-04-12 00:00:00,558.56,559.50,558.22,559.34,1085,43111
2024-04-12 01:00:00,559.34,560.38,558.66,560.14,1206,43105
2024-04-12 02:00:00,560.14,561.70,559.70,561.38,1173,43124
2024-04-12 09:30:00,561.38,570.10,561.24,568.24,6723,43312
2024-04-12 10:45:00,568.24,570.84,568.24,569.98,5160,43568
2024-04-12 13:45:00,569.98,570.62,568.84,570.56,3312,44115
2024-04-12 14:45:00,570.58,571.78,569.70,571.50,3065,44266
2024-04-12 15:00:00,571.50,572.70,571.50,572.60,917,44223
2024-04-12 22:00:00,573.04,581.30,573.04,579.16,11116,44899
2024-04-12 23:00:00,578.90,584.68,577.68,584.52,7223,44848
2024-04-13 01:00:00,578.30,578.68,568.86,571.50,7335,44765
2024-04-13 02:00:00,571.42,572.80,564.00,566.66,3366,44655
2024-04-13 09:30:00,566.48,566.92,564.46,565.46,991,44604
2024-04-15 00:00:00,584.42,590.56,574.44,578.30,14976,44764
2024-04-15 09:30:00,565.34,569.96,562.06,565.96,8649,45536
2024-04-15 10:45:00,565.98,567.18,565.24,566.52,3005,45918
2024-04-15 13:45:00,566.52,566.66,564.60,565.38,3429,46275
2024-04-15 14:45:00,565.42,567.50,565.16,566.66,4162,46587
2024-04-15 15:00:00,566.66,566.70,565.48,565.92,436,46577
2024-04-15 22:00:00,566.40,567.10,560.40,562.14,12567,45601
2024-04-15 23:00:00,562.02,563.96,557.78,563.06,10748,45843
2024-04-16 00:00:00,563.06,563.58,561.26,563.30,3076,45830
2024-04-16 01:00:00,563.30,565.58,562.08,564.90,1806,45789
2024-04-16 02:00:00,564.90,568.02,563.86,566.90,2470,45778
2024-04-16 09:30:00,567.10,571.74,566.50,570.82,3850,45794
2024-04-16 10:45:00,570.82,571.36,569.76,570.68,1997,45970
2024-04-16 13:45:00,570.68,573.38,570.62,571.82,4338,45838
2024-04-16 14:45:00,571.82,572.98,567.42,568.02,5993,46561
2024-04-16 15:00:00,568.02,569.14,567.86,569.14,826,46633
2024-04-16 22:00:00,568.74,571.26,567.50,567.98,9331,47398
2024-04-16 23:00:00,568.06,570.82,566.80,570.54,7211,48041
2024-04-17 00:00:00,570.54,572.84,569.38,571.78,4759,48120
2024-04-17 01:00:00,571.68,574.88,571.42,574.56,1743,48070
2024-04-17 02:00:00,574.56,574.60,570.44,571.64,2808,47996
2024-04-17 09:30:00,571.68,573.78,570.38,570.46,2181,48046
2024-04-17 10:45:00,570.46,571.40,570.30,571.04,2440,47970
2024-04-17 13:45:00,571.04,571.06,567.62,568.90,2563,48004
2024-04-17 14:45:00,568.90,569.34,567.58,569.12,2521,48346
2024-04-17 15:00:00,569.10,569.96,569.00,569.92,1302,48541
2024-04-17 22:00:00,570.46,572.98,570.28,572.40,4513,48611
2024-04-17 23:00:00,572.40,572.86,570.94,571.66,2494,48567
2024-04-18 00:00:00,571.66,572.48,569.60,569.94,2638,48619
2024-04-18 01:00:00,569.94,570.26,561.04,565.18,5607,48953
2024-04-18 02:00:00,565.18,566.56,563.16,565.28,2768,48997
2024-04-18 09:30:00,565.28,566.58,563.68,564.16,3260,48990
2024-04-18 10:45:00,564.14,565.64,563.24,565.08,2388,49496
2024-04-18 13:45:00,565.08,566.00,564.40,565.56,1974,49835
2024-04-18 14:45:00,565.56,566.92,565.38,566.68,1866,49934
2024-04-18 15:00:00,566.68,567.62,566.16,567.62,609,50132
2024-04-18 22:00:00,568.40,569.58,565.34,566.36,8901,50944
2024-04-18 23:00:00,566.36,567.50,564.20,566.30,4686,50883
